event_id,check_in_at,check_out_at,event_date,check_in_timestamp,check_out_timestamp,parking_lot_id,vehicle_type,direction_type,history_state,payment_type,lpn,lpn_cmp,service_id,service_name,service_category,owner_customer_id,card_number,use_voucher,wallet_balance_before,wallet_balance_after,total_topup,bank_transfer,parking_fee,lost_card_fee,promotion_amount,promotion_vinfast_amount,amount_due,used_change,park_duration_ms,org_unit_code,org_unit_name,checkin_customer_id,checkout_customer_id,entry_point_in_name,lane_in_name,entry_point_out_name,lane_out_name,open_mode_in,open_mode_out,check_in_date_key,check_in_time_key,check_out_date_key,check_out_time_key,created_at,last_modified_at,_dbt_loaded_at
1a4d3edc-854c-8dee-2c30-12e965d10618,2026-06-01 13:52:00,2026-06-01 19:40:00,2026-06-01,1780296720000,1780317600000,LOT_013,motorbike,IN_OUT,COMPLETED,E_WALLET,37A-44244,MATCH,SVC_03,Visitor Parking,VIP,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD979409,False,445080,303996,0,0,0,0,10000,0,0,0,20880000,OU_01,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 2,Lane IN 4,Gate Out 2,Lane OUT 3,AUTO,AUTO,20260601,1345,20260601,1930,2026-06-01 13:52:00,2026-06-01 19:40:00,2026-06-19 15:01:32
afe72609-ad72-eb0b-5160-4060f0208f6b,2026-06-01 19:10:00,2026-06-02 02:10:00,2026-06-01,1780315800000,1780341000000,LOT_019,motorbike,IN_OUT,COMPLETED,CASH,36A-49767,MATCH,SVC_03,Hourly Parking,STAFF,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD116456,False,483210,357689,50000,0,0,0,10000,0,0,0,25200000,OU_03,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 3,Lane IN 1,Gate Out 2,Lane OUT 3,MANUAL,AUTO,20260601,1900,20260602,0200,2026-06-01 19:10:00,2026-06-02 02:10:00,2026-06-19 15:01:32
aaa7885b-c7b5-ac2b-6294-b126451fd50c,2026-06-01 19:12:00,2026-06-01 19:48:00,2026-06-01,1780315920000,1780318080000,LOT_031,car,IN_OUT,COMPLETED,MONTHLY_PASS,66A-19766,MATCH,SVC_04,Hourly Parking,STAFF,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD651236,False,196855,488263,0,0,10000,0,0,0,10000,0,2160000,OU_01,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 2,Lane IN 1,Gate Out 2,Lane OUT 6,AUTO,MANUAL,20260601,1900,20260601,1945,2026-06-01 19:12:00,2026-06-01 19:48:00,2026-06-19 15:01:32
04ddceb7-8188-1653-08f1-b8cdc8009527,2026-06-01 18:11:00,2026-06-02 01:49:00,2026-06-01,1780312260000,1780339740000,LOT_003,motorbike,IN_OUT,COMPLETED,E_WALLET,16A-50396,MATCH,SVC_04,Hourly Parking,VIP,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD834028,False,153950,460274,50000,0,10000,0,5000,0,10000,0,27480000,OU_01,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 1,Lane IN 6,Gate Out 1,Lane OUT 5,AUTO,AUTO,20260601,1800,20260602,0145,2026-06-01 18:11:00,2026-06-02 01:49:00,2026-06-19 15:01:32
719174bc-13ba-5a6a-ae04-8079ba6a0a5e,2026-06-01 17:36:00,2026-06-01 20:48:00,2026-06-01,1780310160000,1780321680000,LOT_035,eMotorbike,IN_OUT,COMPLETED,E_WALLET,38A-83565,MATCH,SVC_03,Monthly Parking,VIP,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD627006,False,139578,40757,50000,5000,5000,0,5000,0,5000,0,11520000,OU_03,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 3,Lane IN 6,Gate Out 2,Lane OUT 3,AUTO,AUTO,20260601,1730,20260601,2045,2026-06-01 17:36:00,2026-06-01 20:48:00,2026-06-19 15:01:32
455bd804-5acc-3129-4f5f-f2816ca2f8c1,2026-06-01 06:07:00,2026-06-01 10:29:00,2026-06-01,1780268820000,1780284540000,LOT_014,motorbike,IN_OUT,COMPLETED,E_WALLET,54A-48272,MATCH,SVC_02,Monthly Parking,VIP,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD962656,False,54617,308578,50000,0,0,0,10000,0,0,0,15720000,OU_02,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 2,Lane IN 2,Gate Out 1,Lane OUT 1,AUTO,MANUAL,20260601,0600,20260601,1015,2026-06-01 06:07:00,2026-06-01 10:29:00,2026-06-19 15:01:32
a1b55395-f303-3eea-fb18-05dee9047b6a,2026-06-01 20:43:00,2026-06-02 02:16:00,2026-06-01,1780321380000,1780341360000,LOT_008,eMotorbike,IN_OUT,COMPLETED,E_WALLET,78A-51588,MATCH,SVC_02,Monthly Parking,VIP,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD303898,False,70679,108169,100000,0,10000,0,0,0,5000,0,19980000,OU_03,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 2,Lane IN 6,Gate Out 1,Lane OUT 1,MANUAL,MANUAL,20260601,2030,20260602,0215,2026-06-01 20:43:00,2026-06-02 02:16:00,2026-06-19 15:01:32
f4bb22f8-8788-f0e7-ea90-35895a026f7b,2026-06-01 06:22:00,2026-06-01 11:23:00,2026-06-01,1780269720000,1780287780000,LOT_036,eBicycle,IN_OUT,COMPLETED,CASH,90A-33053,MATCH,SVC_02,Hourly Parking,STANDARD,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD347574,False,415811,462559,50000,0,50000,0,0,0,50000,0,18060000,OU_04,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 2,Lane IN 3,Gate Out 2,Lane OUT 4,MANUAL,AUTO,20260601,0615,20260601,1115,2026-06-01 06:22:00,2026-06-01 11:23:00,2026-06-19 15:01:32
3c3a621c-9a0a-dbe4-c43b-dbecb8b294d2,2026-06-01 20:58:00,2026-06-01 23:50:00,2026-06-01,1780322280000,1780332600000,LOT_009,eMotorbike,IN_OUT,COMPLETED,E_WALLET,69A-70039,MATCH,SVC_04,Visitor Parking,STAFF,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD328707,False,283588,49065,50000,0,20000,0,10000,0,15000,0,10320000,OU_03,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 3,Lane IN 4,Gate Out 2,Lane OUT 3,AUTO,AUTO,20260601,2045,20260601,2345,2026-06-01 20:58:00,2026-06-01 23:50:00,2026-06-19 15:01:32
eb95f7ba-7005-3090-ef8a-61617ac6d281,2026-06-01 15:01:00,2026-06-01 20:18:00,2026-06-01,1780300860000,1780319880000,LOT_027,eMotorbike,IN_OUT,COMPLETED,CASH,48A-59911,MATCH,SVC_01,Visitor Parking,STANDARD,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD859167,True,116383,294655,0,0,0,0,10000,0,0,0,19020000,OU_02,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 3,Lane IN 5,Gate Out 3,Lane OUT 2,MANUAL,AUTO,20260601,1500,20260601,2015,2026-06-01 15:01:00,2026-06-01 20:18:00,2026-06-19 15:01:32
2eb95632-92d1-9913-8847-77786d55da27,2026-06-01 18:45:00,2026-06-01 23:32:00,2026-06-01,1780314300000,1780331520000,LOT_015,motorbike,IN_OUT,COMPLETED,CARD,80A-97418,MATCH,SVC_02,Monthly Parking,STAFF,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD806090,False,329713,93811,100000,5000,5000,0,0,0,5000,0,17220000,OU_02,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 1,Lane IN 5,Gate Out 3,Lane OUT 2,AUTO,MANUAL,20260601,1845,20260601,2330,2026-06-01 18:45:00,2026-06-01 23:32:00,2026-06-19 15:01:32
45be3391-860b-15d0-ee57-d81338cb1f9e,2026-06-01 07:59:00,2026-06-01 08:24:00,2026-06-01,1780275540000,1780277040000,LOT_027,eBicycle,IN_OUT,COMPLETED,CARD,77A-58817,MATCH,SVC_02,Hourly Parking,STANDARD,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD686031,False,119266,360917,100000,0,30000,0,0,0,25000,0,1500000,OU_04,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 3,Lane IN 4,Gate Out 2,Lane OUT 1,MANUAL,MANUAL,20260601,0745,20260601,0815,2026-06-01 07:59:00,2026-06-01 08:24:00,2026-06-19 15:01:32
331a9a84-4ca5-ddbf-df72-715a4f777f49,2026-06-01 13:20:00,2026-06-01 14:32:00,2026-06-01,1780294800000,1780299120000,LOT_026,car,IN_OUT,COMPLETED,MONTHLY_PASS,15A-76800,MATCH,SVC_01,Visitor Parking,STAFF,5c16d7f9-2da8-23e6-3010-4df7a3d2f7e4,CARD425284,False,131126,269144,0,0,20000,0,10000,0,15000,0,4320000,OU_04,Demo Org Unit,87d3c775-bac7-6f8f-3cc4-c6bebc5b4d61,d6d90092-9785-bee7-07a3-534cee14b66a,Gate In 2,Lane IN 1,Gate Out 3,Lane OUT 3,AUTO,MANUAL,20260601,1315,20260601,1430,2026-06-01 13:20:00,2026-06-01 14:32:00,2026-06-19 15:01:32
